tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt10054946	movie	Song Without Words	Song Without Words	0	\N	\N	83	Drama
tt10054952	movie	3D Print Masters	3D Print Masters	0	2019	\N	52	Biography,Documentary
tt10055028	movie	Dolphin Reef	Dolphin Reef	0	2018	\N	77	Documentary,Family
tt10055058	movie	The Eye and The Wall	The Eye and The Wall	0	\N	\N	\N	Sci-Fi
tt10055188	movie	Mark of the Butterfly	Mark of the Butterfly	0	\N	\N	\N	Drama
tt10055228	movie	Left For Dead	Left For Dead	0	\N	\N	\N	Action
tt10055284	movie	The Curse of Bryerstone	The Curse of Bryerstone	0	2020	\N	100	Adventure
tt10055302	movie	Love of Tangbula Grasslands	Love of Tangbula Grasslands	0	2006	\N	\N	Adventure
tt10055500	movie	#voteLOVE	#voteLOVE	0	\N	\N	\N	Comedy,Romance
tt10055510	movie	Abigail	Abigail	0	\N	\N	\N	Horror
tt10055546	movie	Supercool	Supercool	0	2021	\N	\N	Animation,Comedy,Fantasy
tt10055618	movie	Tunguska Butterfly	Tsungûsuka batafurai: Saki to Mari no monogatari	0	2019	\N	91	\N
tt10055676	movie	Kenkyô edo-murasaki	Kenkyô edo-murasaki	0	1954	\N	113	\N
tt10055726	movie	CEO Mama	CEO Mama	0	\N	\N	\N	Drama
tt10055762	movie	Mullapoo Viplavam	Mullapoo Viplavam	0	2019	\N	136	Drama
tt10055770	movie	Vellai Pookal	Vellaipookal	0	2019	\N	122	Crime,Drama,Thriller
tt10055774	movie	Mere Pyare Deshvasiyom	Mere Pyare Deshvasiyom	0	2019	\N	110	Comedy
tt10055798	movie	Bitches Abroad 1: Foreign Pickups Hungary	Bitches Abroad 1: Foreign Pickups Hungary	1	2016	\N	\N	Adult
tt10055818	movie	Bitches Abroad 03: Foreign Affairs	Bitches Abroad 03: Foreign Affairs	1	2016	\N	\N	Adult
tt10055838	movie	Bitches Abroad 4: Fucked Abroad Hungary	Bitches Abroad 4: Fucked Abroad Hungary	1	2016	\N	\N	Adult
tt10055868	movie	Bums Bus 03: Bang a Blonde: Blondinengelager	Bums Bus 03: Bang a Blonde: Blondinengelager	1	2016	\N	\N	Adult
tt10055876	movie	Dans la matinée	Dans la matinée	0	2019	\N	61	\N
tt10055880	movie	Black Mad Wheel	Black Mad Wheel	0	\N	\N	\N	\N
tt10055886	movie	Chicas Loca 3: Putas En Público 2	Chicas Loca 3: Putas En Público 2	1	2016	\N	\N	Adult
tt10055892	movie	Youngest	Youngest	0	2020	\N	\N	\N
tt10055902	movie	The Creeps	The Creeps	0	\N	\N	\N	\N
tt10056028	movie	Fatei and the sea	Fatei and the sea	0	2018	\N	76	Documentary
tt10056070	movie	Das Bürgermeistermädchen	Das Bürgermeistermädchen	0	2018	\N	57	Comedy,Drama
tt10056072	movie	Calling	Calling	0	2019	\N	\N	Crime
tt10056224	movie	Cortex	Cortex	0	2020	\N	96	Crime,Drama,Thriller
tt10056270	movie	O Ballet de Hugo Bianchi	O Ballet de Hugo Bianchi	0	2019	\N	48	Biography,Documentary
tt10056306	movie	Wanpaku tenshi	Wanpaku tenshi	0	1963	\N	94	Drama
tt10056322	movie	MeloDylan	MeloDylan	0	2019	\N	92	Drama
tt10056326	movie	The Battle of the Strong	The Battle of the Strong	0	\N	\N	\N	History,Romance,War
tt10056330	movie	Rotenberg	Rotenberg	0	2018	\N	78	Documentary
tt10056334	movie	Octubre	Octubre	0	2018	\N	80	Documentary
